_id,competence,type,question,answer,modification
1,ОПК-4,З,"Выберите случаи обработки персональных данных, когда оператор не обязан получать письменное согласие субъекта на обработку","бронирование гостиницы туристической фирмой|если между оператором и субъектом есть договор, предусматривающий обработку ПД|осуществление доставки почтовых сообщений",cb
2,ОПК-4,З,"Отображение официальных взглядов на цели, задачи, принципы и основные направления обеспечения информационной безопасности РФ содержится в:",Доктрине информационной безопасности Российской Федерации,rb
3,ПК-3,З,Что делает спецсимвол _ в паре с оператором LIKE: select * from Orders where customer_name like mik_;,"найдет все имена, которые начинаются на mik и состоят из 4 символов",rb
4,ПК-11,З,Грубые ошибки:,характеризующиеся большим отклонением от центра группирования выборки,rb
5,ПК-3,З,Выберите корректный пример использования функции CONCAT:,"select concat(`index`,"" "", `city`) from Orders;",rb
6,ПК-3,З,"Выберите корректный пример составленного запроса с использованием JOIN. Данный запрос выведет нам данные ID заказа, имя заказчика и продавца:","select Orders.id, Orders.customer_name, Sellers.id from Orders LEFT JOIN Sellers ON Orders.seller_id = Sellers.id;",rb
7,ПК-3,З,В каких командах можно использовать LIMIT?,"Select, Update, Delete",rb
8,ПК-11,З,Систематические ошибки:,постоянство отклонений при определении каждого члена выборки и зависимость от технического уровня измерительной аппаратуры и техники эксперимента,rb
9,ПК-3,З,Как получить значение текущего года в SQL?,select year(now());,rb
10,ПК-3,З,Выберите правильный пример запроса с использованием UNION:,"select id, city from Orders union select id, city from Sellers order by id;",rb
11,ПК-3,З,"Зачем существует команда UPDATE, если можно сначала удалить запись, а потом добавить новую, исправленную.","Потому что в записи могут быть автоматически проставляемые поля, такие как auto_increment или timestamp, которые собьются при внесении записи заново",rb
12,ОПК-4,З,Как называется попытка реализации угрозы?,атака,rb
13,ОПК-4,З,Что покажет следующий запрос: select * from Orders where date between 2017-01-01 and 2017-12-31,"Все данные по заказам, совершенным за 2017 год",rb
14,ПК-11,З,Выборочная оценка,"это случайная величина, точность определения которой и возможные при этом ошибки необходимо контролировать",rb
15,ОПК-4,З,Обязанность по обеспечению безопасности персональных данных при их обработке полностью возлагается на:,оператора персональных данных,rb
16,ПК-11,З,Первый этап математического моделирования это,"определение законов, связывающих основные объекты модели",rb
17,ПК-3,З,Как сделать несколько записей в таблицу за один запрос?,Перечислить через запятую все наборы значений после VALUES,rb
18,ПК-11,З,Что включает в себя первое правило проведения статистических наблюдений?,"составляемая программа статистических наблюдений должна включать только те вопросы, на которые необходимо получить ответы.",rb
19,ПК-11,З,Что включает в себя второе правило проведения статистических наблюдений?,"не рекомендуется в программу наблюдений включать вопросы, на которые не удастся получить ответы удовлетворительного качества",rb
20,ОПК-4,З,Реестр конфиденциальных документов создаётся для:,"определения, какие документы являются конфиденциальными, какие сотрудники имеют доступ какого уровня к каким документам",rb
21,ПК-3,З,"Что покажет следующий запрос: select concat(`index`, , `city`) AS delivery_address from Orders;",соединит поля с индексом и адресом из таблицы Orders и покажет их с псевдонимом delivery_address,rb
22,ПК-11,З,К вычисляемым в результате эксперимента оценкам случайных величин предъявляются следующие требования:,"эффективности, состоятельности, несмещенности",rb
23,ПК-3,З,Как правильно добавить строку в таблицу? Какой запрос верный?,"INSERT INTO `SimpleTable` (`some_text`) VALUES (""my text"");",rb
24,ПК-11,З,"Дисперсия, среднее квадратичное отклонение и коэффициент вариации",являются количественными характеристиками оценки рассеивания значений результатов эксперимента,rb
25,ОПК-4,З,"Как называется гражданин или юридическое лицо, осуществляющие деятельность по эксплуатации информационной системы, в том числе по обработке информации, содержащейся в ее базах данных?",оператор информационной системы,rb
26,ПК-11,З,Вычисленные моменты распределения,являются точечными оценками выборочных величин|позволяют судить о значении вычисленной статистической характеристики в данной точке|не позволяют определить возможные пределы варьирования самой оценки,cb
27,ПК-11,З,Четвертый этап математического моделирования это,анализ модели в связи с накоплением данных об изучаемых явлениях и модернизация модели,rb
28,ОПК-4,З,"Как называется совокупность условий и факторов, создающих потенциальную или реально существующую опасность нарушения безопасности информации?",угроза,rb
29,ПК-11,З,При выборочном наблюдении встречаются ошибки:,"систематические, грубые, случайные",rb
30,ОПК-4,З,"Какие документы определяют общие отношение и политику государства в заданной области, а также служат основой для создания нормативно–правовых документов?",концептуальные,rb
31,ОПК-4,З,"Как называется государственный орган, муниципальный орган, юридическое или физическое лицо, организующие и (или) осуществляющие обработку персональных данных, а также определяющие цели и содержание обработки персональных данных?",оператор персональных данных,rb
32,ПК-11,З,Сколько правил сформулировал статистик А. Кетле,3,rb
33,ПК-11,З,Для разработки современной м.м. необходимо решить следующие задачи,"анализ, выбраковка и восстановление аномальных измерений|экспериментальная проверка законов распределения экспериментальных данных|группировка исходной информации экспериментальных данных|объединение нескольких групп измерений|определение статистических связей и взаимовлияния различных измеряемых факторов и результирующих переменных|оценка параметров и числовых характеристик наблюдаемых случайных величин или процессов",cb
34,ОПК-4,З,"Если в результате несанкционированного доступа персональные данные были уничтожены, оператор обязан:",немедленно восстановить персональные данные,rb
35,ОПК-4,З,"Какой уровень защиты информации представляет собой комплекс мер, применяемых руководством организации?",административный,rb
36,ОПК-4,З,Наличие межсетевого экрана необходимо при,использовании сетей общего пользования,rb
37,ПК-3,З,Какие поля из таблицы обязательно перечислять в INSERT для вставки данных?,"Те, у которых нет DEFAULT значения и которые не имеют атрибут auto_increment",rb
38,ОПК-4,З,"Программный модуль, который подделывает приглашение пользователю зарегистрироваться для того, чтобы войти в систему, является клавиатурным шпионом типа",имитатор,rb
39,ПК-11,З,Аббревиатура м.м. – это,математическая модель,rb
40,ПК-11,З,Случайные ошибки –,не могут быть предварительно учтены из-за их зависимости от изменения условий измерений и изменчивости самих измеряемых величин,rb
41,ПК-11,З,Процесс математического моделирования подразделяется на,"определённые этапы, количество которых в большинстве случаев равно четырём",rb
42,ПК-11,З,Задачи и выводы о природе экспериментальных данных могут быть,общими и детализированными,rb
43,ОПК-4,З,"Органы, государственной власти, уполномоченные осуществлять мероприятия по контролю и надзору в отношении соблюдения требований ФЗ О персональных данных",регуляторы,rb
44,ОПК-4,З,На каком уровне защиты информации находятся непосредственно средства защиты,программно-технический,rb
45,ОПК-4,З,Следствием наличия уязвимостей в информационной системе является:,угроза,rb
46,ОПК-4,З,К какой категории персональных данных можно отнести сведения о национальной принадлежности человека?,специальные,rb
47,ОПК-4,З,Конечное множество используемых для кодирования информации знаков называется,алфавитом,rb
48,ОПК-4,З,"Как называется лицо, самостоятельно создавшее информацию либо получившее на основании закона или договора право разрешать или ограничивать доступ к информации, определяемой по каким-либо признакам?",обладатель информации,rb
49,ПК-11,З,"Совокупность содержащейся в базах данных информации, и информационных технологий и технических средств, обеспечивающих ее обработку, называется:",информационная система,rb
50,ОПК-4,З,Какая из ниже приведенных методик внедрения системы защиты против инсайдеров соответствует цели выявления канала утечки,скрытое внедрение в сочетании с ОРМ,rb
51,ПК-3,З,Выберите правильный пример использования функции округления ROUND,"select id, ROUND (price * discount, 2) AS total price from Orders;",rb
52,ПК-3,З,"Возможно ли использование одновременно двух агрегирующих функций: select min(price), max(price) from Orders;","да, в результате мы получим минимальную и максимальную стоимости",rb
53,ПК-11,З,Что включает в себя третье правило проведения статистических наблюдений,"в программу наблюдений не должны включаться вопросы, которые могут вызвать недоверие обследуемых субъектов относительно целей проведения статистического исследования",rb
54,ОПК-4,З,Какие категории персональных данных выделяет ФЗ О персональных данных,общедоступные|специальные,cb
55,ПК-11,З,Конечной целью любой обработки экспериментальных данных является,определение гипотез о классе и структуре математической модели|определение возможных методов последующей статистической обработки и их анализ,cb
56,ПК-11,З,К грубым ошибкам относятся,просчеты экспериментатора|сбои вычислительной техники|аномалии в работе измерительных приборов,cb
57,ПК-3,З,"Что покажет следующий запрос: select seller_id, count(*) from Orders GROUP BY seller_id HAVING seller_id IN (2,4,6);","количество заказов сгруппированное по продавцам 2, 4 и 6",rb
58,ПК-3,З,Порядок выполнения операторов AND и OR следующий:,"Сначала выполняется AND, а затем OR",rb
59,ПК-11,З,Математическая модель – это,"приближённое описание какого-либо класса явлений внешнего мира, выраженное с помощью математической символики|общенаучный метод познания внешнего мира, его прогнозирования и управления им",cb
60,ПК-11,З,Второй этап математического моделирования это,"исследование математических задач, к которым приводят м. м.",rb
61,ПК-11,З,Эксперимент является,важнейшим средством получения знаний,rb
62,ПК-3,З,Какого из перечисленных ниже видов JOIN на самом деле не существует:,TRUE JOIN - который выведет все верные значения,rb
63,ОПК-4,З,Проверка подлинности субъекта по предъявленному им идентификатору для принятия решения о предоставлении ему доступа к ресурсам системы - это:,аутентификация,rb
64,ПК-3,З,Что такое JOIN:,операция объединения,rb
65,ПК-3,З,Что покажет следующий запрос: select id from Orders where year (date) > 2018;,"номера заказов, сделанных после 2018 года",rb
66,ОПК-4,З,До начала обработки персональных данных оператор обязан:,получить письменное согласие субъекта персональных данных|сообщить регулятору о своем намерении в письменной форме,cb
67,ОПК-4,З,Анализ защищенности информационных систем проводится с помощью:,сканеров безопасности,rb
68,ПК-3,З,Для чего используется LIMIT: select * from Orders limit 10;,"необходим, чтобы показать первых 10 записей в запросе",rb
69,ПК-3,З,Какого строкового типа данных нет в SQL:,STRING,rb
70,ПК-11,З,Итерационное решение основных задач – это,повторное возвращение к решению той или иной задачи после получения результатов на последующем этапе обработки,rb
71,ОПК-4,З,К какой категории персональных данных можно отнести адресную книгу?,общедоступные,rb
72,ПК-3,З,Чем отличается CHAR и VARCHAR?,"CHAR дополняет строку пробелами до максимальной длины, а VARCHAR тратит лишнюю память на хранение значения длины строки",rb
73,ПК-11,З,Третий этап математического моделирования - это,"определение того, удовлетворяет ли принятая гипотетическая модель критерию практики",rb
74,ПК-3,З,Выберите пример правильно составленного запроса с использованием агрегирующей функции SUM:,select sum(price) from Orders;,rb
75,ПК-3,З,Что такое агрегирующие функции:,"функции, которые работают с набором данных, превращая их в одно итоговое значение",rb
76,ПК-11,З,Для решения задач предварительной обработки используются проверка гипотез,оценивание параметров и числовых характеристик случайных величин и процессов|анализ (корреляционный и дисперсионный),cb
77,ПК-3,З,"Есть ли ошибка в запросе? select id, date, customer_name from Orders where customer_name = Mike;",Mike необходимо записать в кавычках 'Mike',rb
78,ПК-3,З,Выберите корректно составленный запрос с функцией GROUP BY:,"select seller_id, count(*) from Orders GROUP BY seller_id;",rb
79,ПК-11,З,Гипотеза в статистике,трактуется как предположение о распределении случайных величин|является рабочим инструментом статистического анализа,cb
80,ОПК-4,З,Кто должен своевременно обнаруживать факты несанкционироанного доступа к персональным данным,оператор персональных данных,rb
81,ОПК-4,З,Кто такой инсайдер?,"сотрудник, являющийся источником утечки информации",rb
82,ПК-3,З,"Выберите пример корректно написанного запроса с использованием подзапроса, который выводит информацию о заказе с самой высокой стоимостью:",select * from Orders where price = (select max(price) from Orders),rb
83,ПК-3,З,"Что не так с этим запросом select id, date from Orders where seller_id = NULL;",Сравнение с NULL можно проводить только с оператором IS,rb
84,ПК-11,З,Экспериментальные исследования дают,чёткие критерии оценки обоснованности и приемлемости на практике любых теорий и теоретических предположений,rb
85,ОПК-4,З,"Какой документ содержит в себе стратегические национальные приоритеты, цели и меры в области внутренней и внешней политики России, определяющие состояние национальной безопасности и уровень устойчивого развития государства на долгосрочную перспективу?",Стратегия национальной безопасности Российской Федерации,rb
86,ПК-3,З,"Какие данные мы получим из этого запроса? select id, date, customer_name from Orders;",Неотсортированные номера и даты всех заказов с именами заказчиков,rb
87,ПК-3,З,Что покажет следующий запрос: select DISTINCT seller_id order by seller_id from Orders;,"Ничего, запрос составлен неверно, ORDER BY всегда ставится в конце запроса",rb
88,ОПК-4,З,"Оператор не обязан уведомлять регулятора об обработке персональных данных, если:",оператора связывают с субъектом трудовые отношения|обрабатываемые данные включают в себя только ФИО|эти данные необходимы для однократного пропуска на территорию оператора,cb
89,ПК-11,В,На рисунке ниже Q - это значение какого коэффициента?,На рисунке Q - это значение коэффициента модулярности. Модулярность описывает качество разделения графа на группы.,tb
90,ОПК-4,У,Какой тип войн изображён на схеме? Дать развернутый ответ,"2 ПИРАМИДКИ:
На рисунке представлена информационная война. При информационной войне нет явной границы противоборства (фронта), однако в результате успешной информационной войны под контроль победителя попадают все уровни, включая власть, ресурсы, территорию.

5 ПИРАМИДОК:
На рисунке представлена традиционная война. Если схематично представить государство в виде пирамиды, на вершине которой находится аппарат государственной власти, основание составляют ресурсы (материальные, человеческие, энергетические), а между ними расположен социум (общество), то при ведении традиционной войны разрушается надстройка побежденного государства, гибнет часть ресурсов.",tb
91,ПК-11,У,"В модели Барабаши–Альберта  имеется одно  условие. Вначале есть некоторое количество вершин и дальше с течением времени  присоединяются  новые  вершины.  Вместо  того,  чтобы присоединение к новым вершинам происходило просто случайным образом, вводится метод предпочтительного присоединения. Как соотносится вероятность у новой вершины присоединиться  к существующей   вершине и степень этой существующей вершины?  Дать развернутый ответ",Вероятность у новой вершины присоединиться к существующей вершине пропорциональна степени этой существующей вершины.,tb
92,ОПК-4,У,Какой преобразовательный процесс изображён на рисунке? Дать развернутый ответ,На рисунке изображён процесс дешифрования - обратный шифрованию процесс. На основе ключа шифрованный текст преобразуется в исходный.,tb
93,ОПК-4,У,Какой тип войн изображён на схеме? Дать развернутый ответ,"2 ПИРАМИДКИ:
На рисунке представлена информационная война. При информационной войне нет явной границы противоборства (фронта), однако в результате успешной информационной войны под контроль победителя попадают все уровни, включая власть, ресурсы, территорию.

5 ПИРАМИДОК:
На рисунке представлена традиционная война. Если схематично представить государство в виде пирамиды, на вершине которой находится аппарат государственной власти, основание составляют ресурсы (материальные, человеческие, энергетические), а между ними расположен социум (общество), то при ведении традиционной войны разрушается надстройка побежденного государства, гибнет часть ресурсов.",tb
94,ПК-11,У,"Введём показатель G, обозначающий определённое понятие. Справедливо, что: для  выделения  сообщества  показатель G  внутренних  связей должен быть больше, чем показатель G внешних связей, при этом показатель G  внутренних  связей  должен  быть  больше,  чем  средний показатель G графа, а G внешних связей должен быть меньше, чем средний показетель G графа. Какое понятие содержит G? Дать развернутый ответ","G - это плотность связей в графе. Для определенного кластера (сообщества) плотность связей равна количеству рёбер в этом сообществе, делённому на максимально возможное количество рёбер в сообществе.",tb
95,ПК-3,У,"Измените все записи в таблице Test, удовлетворяющие условию value=1, на 2.  (допишите запрос)",UPDATE|SET|WHERE,ib
96,ОПК-4,В,"Осуществите выбор политики безопасности, которая позволит учесть  разделение  обязанностей  и  полномочий  между  участниками  прикладного  информационного  процесса,  где имеет значение не личность пользователя, осуществляющего доступ к информации, а то, какие полномочия ему необходимы для выполнения его служебных обязанностей. В такой ситуации политика безопасности должна позволять распределить полномочия в соответствии со служебными обязанностями: администраторам назначаются специальные полномочия, позволяющие им контролировать работу системы и управлять ее конфигурацией, менеджерам баз  данных  позволяется  осуществлять  управление  сервером  баз  данных, а права простых пользователей ограничиваются минимумом, необходимым для запуска прикладных программ.",Для удовлетворения заявленным требованиям и критериям следует выбрать ролевую политику безопасности.,tb
97,ПК-3,У,Сделайте выборку только различных (разных) значений для столбца value таблицы Test. (допишите запрос),SELECT|DISTINCT|FROM,ib
98,ПК-3,У,Занесите в таблицу Test определенные данные. (допишите запрос),INSERT|INTO|VALUES,ib
99,ПК-3,В,Создайте табличное пространство. (допишите запрос в PostgreSQL),CREATE|TABLESPACE,ib
100,ПК-11,В,"Если в графе на рисунке ниже пересоединить все рёбра, то какой граф получится?","Если в графе на рисунке пересоединить все рёбра, то получится случайный граф.",tb
101,ПК-3,У,Выберите из таблицы Test все строки.  (допишите запрос),SELECT|FROM,ib
102,ПК-11,У,"Рассмотрим этапы построения модели Ваттса–Строгатса. Имеется граф, представляющий собой регулярную решетку с некоторым количеством ближайших соседей; введем  параметр p,  при  котором  модель  становится однопараметрической (параметр p отображает  долю добавленных рёбер). При каком значении p получается случайный граф? Дать развернутый ответ",Случайный граф получится при p = 1.,tb
103,ПК-3,У,Подсчитайте количество строк в таблице Test.  (допишите запрос),SELECT|COUNT|FROM,ib
104,ОПК-4,В,"Рассмотрите случай, когда на классификационном множестве в документальных информационных системах устанавливается не линейный порядок (как на множестве уровней безопасности в мандатных моделях), а частичный порядок, задаваемый определенного вида корневыми деревьями (иерархические и фасетные рубрикаторы). В этом случае целесообразным будет построить эти специальные модели. О каких моделях идёт речь?  Дать развернутый ответ","Речь идёт о моделях тематического разграничения доступа, где основанием для классификации информации и субъектов доступа к ней выступают не конфиденциальность данных и доверие к субъектам доступа, как в мандатных моделях, а тематическая структура предметной области информационной системы.",tb
105,ПК-3,У,"Выберите все записи из таблицы test, для которых значение колонки value начинается с a. (допишите запрос)",SELECT|FROM|WHERE|LIKE,ib
106,ОПК-4,У,Что изображено на рисунке? Дать развернутый ответ,"На рисунке изображена матрица доступа, строки которой соответствуют субъектам доступа, столбцы — объектам доступа, а в ячейках записываются разрешенные операции (права) субъекта над объектом (w — «писать», r — «читать», e — «исполнять»).",tb
107,ПК-11,В,На рисунке ниже мы добавляем в граф некоторые  длинные  связи. Какой параметр при этом уменьшится?,Наличие нескольких таких длинных связей позволяет резко уменьшить диаметр графа.,tb
108,ПК-3,У,Занесите в таблицу Test строку.  (допишите запрос),INSERT|INTO|VALUES,ib
109,ОПК-4,У,"Правило контроля доступа в зависимости от уровней безопасности взаимодействующих сторон при политике мандатного доступа: субъект имеет право читать только те документы, уровень безопасности которых не превышает его собственный уровень безопасности.  ",No read up (NRU) — нет чтения вверх.,tb
